DayName,Hour,Global_active_power
Friday,0,0.5673917073170731
Friday,1,0.4666892682926829
Friday,2,0.4116965853658537
Friday,3,0.416349918699187
Friday,4,0.4294839024390244
Friday,5,0.43094569105691055
Friday,6,0.9052427642276424
Friday,7,1.704820975609756
Friday,8,1.577107154471545
Friday,9,1.4034594682494512
Friday,10,1.2754434146341462
Friday,11,1.1556373983739838
Friday,12,1.1495152845528456
Friday,13,1.0385973983739838
Friday,14,1.0007027642276423
Friday,15,0.9434292682926829
Friday,16,0.8855455284552844
Friday,17,1.0369138211382114
Friday,18,1.1928755895267524
Friday,19,1.56719183540701
Friday,20,1.7019130081300813
Friday,21,1.6537436902719922
Friday,22,1.2972286694998365
Friday,23,0.8328338235294118
Monday,0,0.5314911330049261
Monday,1,0.4503183908045977
Monday,2,0.41321198686371097
Monday,3,0.42354909688013137
Monday,4,0.428247619047619
Monday,5,0.4167054187192118
Monday,6,0.8194070607553366
Monday,7,1.7174648095043015
Monday,8,1.497674019607843
Monday,9,1.373733496732026
Monday,10,1.1921209150326797
Monday,11,1.0830483660130719
Monday,12,1.0644150326797386
Monday,13,0.8740813791976468
Monday,14,0.7576932225480612
Monday,15,0.7340806504065039
Monday,16,0.7068408130081301
Monday,17,0.7852882128040348
Monday,18,1.0927627256464465
Monday,19,1.5695113821138214
Monday,20,1.891059273111635
Monday,21,1.908203431173266
Monday,22,1.3904738596633872
Monday,23,0.8438822764227643
Thursday,0,0.5718387254901961
Thursday,1,0.46703300653594776
Thursday,2,0.43795097638695973
Thursday,3,0.39895849673202616
Thursday,4,0.42633807189542483
Thursday,5,0.4461824302134647
Thursday,6,0.8894737274220034
Thursday,7,1.6844474548440065
Thursday,8,1.5777618656593857
Thursday,9,1.2945343185550082
Thursday,10,1.1196389162561575
Thursday,11,1.0072455247167023
Thursday,12,0.9110257799671593
Thursday,13,0.8236244663382594
Thursday,14,0.7057019459725757
Thursday,15,0.6486293924466338
Thursday,16,0.6346566502463055
Thursday,17,0.6989577996715928
Thursday,18,1.0706162561576356
Thursday,19,1.7398585776108433
Thursday,20,1.9637860162601626
Thursday,21,1.8668826733880803
Thursday,22,1.3476726296958854
Thursday,23,0.8190505691056911
Tuesday,0,0.6079843902439024
Tuesday,1,0.46720390243902443
Tuesday,2,0.4390250406504065
Tuesday,3,0.42586780487804876
Tuesday,4,0.439784175002033
Tuesday,5,0.4271258536585366
Tuesday,6,0.8566819512195122
Tuesday,7,1.6864876422764228
Tuesday,8,1.606509756097561
Tuesday,9,1.3424817886178864
Tuesday,10,1.2273475073313782
Tuesday,11,1.248820487804878
Tuesday,12,1.2470722068629045
Tuesday,13,1.2006777235772357
Tuesday,14,1.0136638737492882
Tuesday,15,0.9287950980392157
Tuesday,16,0.8685404036277474
Tuesday,17,0.9146037581699347
Tuesday,18,1.1682694444444446
Tuesday,19,1.5856695694636607
Tuesday,20,1.8654382113821137
Tuesday,21,1.8457485294117646
Tuesday,22,1.4638797385620914
Tuesday,23,0.8005408496732027
Wednesday,0,0.5637415032679739
Wednesday,1,0.4875321895424837
Wednesday,2,0.4743838235294117
Wednesday,3,0.3933661764705882
Wednesday,4,0.40469771241830066
Wednesday,5,0.43228839869281044
Wednesday,6,0.9051541792630118
Wednesday,7,1.7819893790849672
Wednesday,8,1.6405947450274208
Wednesday,9,1.421145751633987
Wednesday,10,1.2714623814196924
Wednesday,11,1.3069661796092595
Wednesday,12,1.170552614379085
Wednesday,13,1.1143044117647058
Wednesday,14,1.0712207877104103
Wednesday,15,0.9546088235294118
Wednesday,16,0.9194700980392158
Wednesday,17,0.9937818627450979
Wednesday,18,1.1889916666666667
Wednesday,19,1.5851406862745097
Wednesday,20,1.7816028762869751
Wednesday,21,2.0047197842608484
Wednesday,22,1.3577521241830064
Wednesday,23,0.7592581699346405
