ds,yhat,yhat_lower,yhat_upper
2007-01-01,1.3799414412661437,1.015486389944403,1.7376853557970124
2007-01-02,1.4505263903771284,1.093654450242478,1.810355420094854
2007-01-03,1.4635862770208332,1.0642595315118906,1.8248921751916516
2007-01-04,1.3619235965817293,0.9824002078449449,1.7168486259451077
2007-01-05,1.4108818817163153,1.0638152964764684,1.7819059585218435
2007-01-06,1.5965597730327328,1.2382370236917002,1.9569138124015288
2007-01-07,1.5772094174579676,1.2034623696519635,1.9224411538658925
2007-01-08,1.362452968373025,1.0162489834789528,1.7632100324860447
2007-01-09,1.4339247415701595,1.0715619478426013,1.783067624337596
2007-01-10,1.4491293934668088,1.0765261767739238,1.8281755189265678
2007-01-11,1.3508506196155299,1.0021765831394804,1.7112274642124556
2007-01-12,1.4043719736230589,1.049080220722827,1.7623616672663767
2007-01-13,1.5956918532738225,1.2554121377534593,1.940414168936773
2007-01-14,1.5829239626976759,1.2160690726271188,1.9832281979604227
2007-01-15,1.375516973701242,1.014123158120662,1.7540544749864586
2007-01-16,1.4549008595660031,1.0709137080067765,1.8245535112582316
2007-01-17,1.478350159459056,1.1310081964539853,1.8390818059122662
2007-01-18,1.3883985386312199,1.042440271393807,1.758865408624819
2007-01-19,1.4500660907147325,1.0956664829676146,1.836575108285067
2007-01-20,1.649081258329343,1.2674034081017116,2.0276129917104924
2007-01-21,1.6432884980866018,1.2390194079652301,2.008294218821206
2007-01-22,1.441875223071579,1.0763748623332865,1.7896782445742063
2007-01-23,1.5260253038837908,1.1586715698515593,1.8920019744515288
2007-01-24,1.5527891970506869,1.1864940160270632,1.920640188088078
2007-01-25,1.4645048845722308,1.0980452276729662,1.8418679293460614
2007-01-26,1.5260309021526874,1.1844053791409601,1.889756811678716
2007-01-27,1.7229731806418465,1.3335705746838329,2.0819500798548845
2007-01-28,1.7130966960586933,1.3262629830940187,2.048580238700623
2007-01-29,1.5055553549013612,1.1381523919151983,1.8865260637275032
2007-01-30,1.5815473164127987,1.2072849961938823,1.9403452204293175
2007-01-31,1.598185770161473,1.2389887830412962,1.966267990402572
2007-02-01,1.4979193323321582,1.1112980515491904,1.8602666643829164
2007-02-02,1.5457633483848894,1.1976066286991907,1.9224763512952732
2007-02-03,1.7275238667514463,1.3808657125793573,2.098659872718507
2007-02-04,1.7012053478880538,1.3159292312988353,2.0776013272312834
2007-02-05,1.476235631206824,1.1153947713072556,1.8389298400217624
2007-02-06,1.5341154815689286,1.1827253452038238,1.9169684791894188
2007-02-07,1.5322828746950714,1.192422207198376,1.9038581872113276
2007-02-08,1.4135263430630103,1.0695047908786235,1.7644034874858594
2007-02-09,1.443208841183945,1.0945306727099604,1.8410548381589569
2007-02-10,1.6074840747077606,1.2470741838475248,1.998272988792343
2007-02-11,1.5646965414171585,1.1879447181081557,1.9286462923497405
2007-02-12,1.32459898961376,0.9390179486404989,1.7016690724021315
2007-02-13,1.3689947932264608,1.007926591931418,1.709235106054663
2007-02-14,1.3555955708950431,1.010960490470547,1.7160227805329535
2007-02-15,1.2274285246380106,0.8677592255290129,1.5931529918282903
2007-02-16,1.2500550934914634,0.8793588570823808,1.5811226280838542
2007-02-17,1.4097829824798824,1.0584708058479222,1.7973273410308603
2007-02-18,1.3650629072505114,0.9840046462244639,1.7273101548577565
2007-02-19,1.1257038272926734,0.7756052741057191,1.5201727924233674
2007-02-20,1.1735142076249512,0.7899152751152174,1.5503366175404398
2007-02-21,1.1661596497019542,0.7964148547334249,1.539839406781574
2007-02-22,1.046571353627243,0.6827832856201534,1.3946104396551795
2007-02-23,1.0801669673025462,0.7121395098455235,1.4536848476852673
2007-02-24,1.253065818236729,0.8951828829228314,1.6274776558956852
