Month,Global_active_power
2007-01-31,1.5460339172902011
2007-02-28,1.401083535889677
2007-03-31,1.3186270301754073
2007-04-30,0.8911889454619145
2007-05-31,0.9858618279569893
2007-06-30,0.8268143754199783
2007-07-31,0.6673668246871419
2007-08-31,0.7641862028777623
2007-09-30,0.9693181628779111
2007-10-31,1.1039107934943322
2007-11-30,1.2944729848604102
2007-12-31,1.626473935348014
2008-01-31,1.4599202939133942
2008-02-29,1.1813844864334124
2008-03-31,1.245336902708394
2008-04-30,1.115972037037037
2008-05-31,1.0242811057843093
2008-06-30,0.9940964374175328
2008-07-31,0.7947806353331242
2008-08-31,0.276488193915498
2008-09-30,0.9876803703703704
2008-10-31,1.1367683924927685
2008-11-30,1.3870658238984974
2008-12-31,1.2751893019811975
2009-01-31,1.4102020206545847
2009-02-28,1.2475678159777424
2009-03-31,1.2267347551413592
2009-04-30,1.140689939349044
2009-05-31,1.0128557666457567
2009-06-30,0.8407564857751598
2009-07-31,0.6181208889685456
2009-08-31,0.6646187112848293
2009-09-30,0.9868408454290807
2009-10-31,1.144486211608683
2009-11-30,1.2747434431352578
2009-12-31,1.3644205833594696
2010-01-31,1.430524898214845
2010-02-28,1.3758546058832284
2010-03-31,1.1300752821908808
2010-04-30,1.0272951688696499
2010-05-31,1.095284392571518
2010-06-30,0.9696148895782212
2010-07-31,0.7210679450704541
2010-08-31,0.5907781579088042
2010-09-30,0.9564424307878724
2010-10-31,1.163398687246578
